Date,IWO,TLT,QQQ
7/21/2016,138.307312,124.855377,108.950104
7/22/2016,139.506821,125.071632,109.402542
7/25/2016,139.361755,124.981468,109.41217
7/26/2016,139.92276,125.179764,109.537308
7/27/2016,140.599915,126.738632,110.297791
7/28/2016,140.55159,126.504326,110.682838
7/29/2016,140.725662,127.558701,110.9235
8/1/2016,141.248001,126.175682,111.510674
8/2/2016,139.168274,124.875671,110.663551
8/3/2016,140.067856,124.947937,111.029381
8/4/2016,140.232361,125.886765,111.347038
8/5/2016,141.925125,124.577759,112.415558
8/8/2016,141.625259,124.812477,112.290421
8/9/2016,142.002502,126.040192,112.550323
8/10/2016,140.919098,126.527641,112.261543
8/11/2016,141.615601,125.399284,112.742859
8/12/2016,141.886444,126.455475,112.819862
8/15/2016,143.26004,125.263863,113.301163
8/16/2016,141.954163,124.929871,112.675476
8/17/2016,141.286682,125.6791,112.877625
8/18/2016,142.263702,125.877815,112.906494
8/19/2016,142.205658,125.218781,112.877625
8/22/2016,142.718307,126.274986,112.964256
8/23/2016,143.763046,126.410355,113.166412
8/24/2016,142.312073,126.112457,112.434807
8/25/2016,142.38945,125.634003,112.251923
8/26/2016,142.312073,124.902771,112.415558
8/29/2016,142.979492,126.572853,112.569588
8/30/2016,143.21167,126.085373,112.203781
8/31/2016,142.254044,126.2659,112.088264
9/1/2016,142.757034,126.405212,112.377052
9/2/2016,144.043564,125.374207,112.742859
9/6/2016,144.507889,126.287598,113.445587
9/7/2016,145.233368,126.197136,113.512962
9/8/2016,144.778732,124.614502,112.848732
9/9/2016,140.203339,122.561539,110.009003
9/12/2016,142.331421,122.624855,111.982384
9/13/2016,139.777725,121.232132,110.981247
9/14/2016,140.271042,121.413055,111.510674
9/15/2016,142.244354,120.888428,113.243431
9/16/2016,141.712326,121.865234,113.189384
9/19/2016,142.805405,121.4673,112.697212
9/20/2016,142.408813,121.892319,112.909538
9/21/2016,144.2854,122.878128,114.01931
9/22/2016,146.287766,123.854836,114.926437
9/23/2016,145.165649,123.737274,114.193016
9/26/2016,143.709366,124.524078,113.237633
9/27/2016,144.678314,125.437492,114.357071
9/28/2016,145.259674,125.166183,114.550072
9/29/2016,142.847,125.482712,113.720154
9/30/2016,144.271332,124.361244,114.569389
10/3/2016,143.951614,123.950851,114.405342
10/4/2016,143.341202,122.501244,114.231621
10/5/2016,144.067932,121.930435,114.63694
10/6/2016,143.932266,121.250923,114.579048
10/7/2016,142.701706,121.33252,114.328117
10/10/2016,144.368225,120.61676,115.051903
10/11/2016,141.267731,120.344955,113.411331
10/12/2016,140.880112,120.462715,113.314827
10/13/2016,139.84343,120.915741,112.909538
10/14/2016,139.010132,119.221527,113.044609
10/17/2016,138.719482,119.982544,112.735817
10/18/2016,139.378372,120.372108,113.739441
10/19/2016,139.669006,120.471786,113.729782
10/20/2016,139.291138,120.598663,113.594681
10/21/2016,139.349289,120.779846,114.01931
10/24/2016,140.279404,120.254333,115.389664
10/25/2016,138.82608,120.571457,115.022934
10/26/2016,137.188583,119.756004,114.241264
10/27/2016,135.279816,118.451424,113.720154
10/28/2016,135.07637,118.188683,113.006012
10/31/2016,135.522049,118.913483,112.899864
11/1/2016,133.952423,118.922539,112.050629
11/2/2016,132.072693,119.440002,111.153137
11/3/2016,131.016647,118.523163,110.062653
11/4/2016,132.072693,119.58519,109.676628
11/7/2016,135.270157,118.56852,112.282234
11/8/2016,135.783661,118.087448,113.015663
11/9/2016,139.920959,113.076714,113.536774
11/10/2016,141.665009,111.406509,111.703201
11/11/2016,144.9496,110.780159,111.75148
11/14/2016,146.557968,110.11747,110.622368
11/15/2016,146.877731,110.662163,112.156769
11/16/2016,146.742081,111.660652,112.822662
11/17/2016,147.778824,110.017654,113.64296
11/18/2016,148.331116,109.699944,113.218315
11/21/2016,149.05777,109.972275,114.395683
11/22/2016,149.832916,109.935959,114.743103
11/23/2016,150.879379,109.509293,114.279861
11/25/2016,151.576981,109.672707,114.646591
